inputs,targets
16 november 2015,2015-11-16
10 dec 2018,2018-12-10
15 jun 2003,2003-06-15
friday 20 april 2007,2007-04-20
sat 25 apr 2015,2015-04-25
tue 8 dec 2015,2015-12-08
26 jan 2021,2021-01-26
1 mar 1975,1975-03-01
22 february 2008,2008-02-22
3/9/07,2007-03-09
tuesday june 19 1979,1979-06-19
23/12/2011,2011-12-23
17 apr 2009,2009-04-17
31 may 1989,1989-05-31
14 nov 2014,2014-11-14
sun 14 oct 1973,1973-10-14
31 dec 1993,1993-12-31
jul 5 2004,2004-07-05
apr 29 1991,1991-04-29
march 3 1983,1983-03-03
08/08/1983,1983-08-08
10/4/88,1988-10-04
19/10/1972,1972-10-19
jan 1 1998,1998-01-01
august 5 1979,1979-08-05
01/06/1980,1980-06-01
nov 22 1977,1977-11-22
june 6 1999,1999-06-06
aug 22 1985,1985-08-22
02/09/2002,2002-09-02
15/06/1988,1988-06-15
tuesday 18 april 1995,1995-04-18
27/12/1983,1983-12-27
24 apr 1989,1989-04-24
mar 17 2020,2020-03-17
wednesday 16 july 1986,1986-07-16
1/15/05,2005-01-15
jul 22 2016,2016-07-22
23 february 2000,2000-02-23
25/10/2012,2012-10-25
wed 20 dec 1972,1972-12-20
sat 22 oct 1994,1994-10-22
14/06/2013,2013-06-14
6/9/13,2013-06-09
19 nov 1975,1975-11-19
thursday october 19 1978,1978-10-19
27/01/1993,1993-01-27
friday 11 may 1973,1973-05-11
27 jun 1989,1989-06-27
may 28 1996,1996-05-28
10/6/13,2013-10-06
7/16/73,1973-07-16
sun 29 jun 1986,1986-06-29
mon 9 jun 2003,2003-06-09
july 31 1989,1989-07-31
tue 1 sep 2015,2015-09-01
12 oct 2018,2018-10-12
19 april 1991,1991-04-19
friday february 26 1999,1999-02-26
jul 25 1989,1989-07-25
8 may 1984,1984-05-08
sunday 1 february 2009,2009-02-01
july 23 2014,2014-07-23
12 may 1990,1990-05-12
apr 26 1975,1975-04-26
14 november 1995,1995-11-14
sun 1 jun 2003,2003-06-01
monday 30 november 1981,1981-11-30
7 october 1986,1986-10-07
13/11/2017,2017-11-13
4 nov 1991,1991-11-04
april 28 1981,1981-04-28
03/02/2015,2015-02-03
13 sep 1982,1982-09-13
2/26/02,2002-02-26
tuesday january 12 1993,1993-01-12
sun 26 aug 2001,2001-08-26
february 26 2000,2000-02-26
9 february 2022,2022-02-09
tuesday 3 september 1974,1974-09-03
nov 5 1994,1994-11-05
13 august 2000,2000-08-13
may 1 1985,1985-05-01
sunday 20 september 1998,1998-09-20
sunday march 16 1980,1980-03-16
20/11/1980,1980-11-20
fri 30 sep 2016,2016-09-30
23 dec 2004,2004-12-23
5 february 2008,2008-02-05
13/06/1981,1981-06-13
6/27/21,2021-06-27
thursday 31 may 1984,1984-05-31
tuesday september 18 1973,1973-09-18
wed 7 feb 1979,1979-02-07
monday 15 november 2021,2021-11-15
september 18 2016,2016-09-18
fri 14 may 2021,2021-05-14
sat 26 apr 2008,2008-04-26
tuesday april 19 1977,1977-04-19
9 july 2022,2022-07-09
6/13/18,2018-06-13
6/14/07,2007-06-14
friday 23 april 1999,1999-04-23
wednesday april 30 2003,2003-04-30
sunday 5 september 2021,2021-09-05
jan 5 2007,2007-01-05
monday 5 october 1981,1981-10-05
monday 3 march 1975,1975-03-03
sunday april 16 1995,1995-04-16
january 20 1992,1992-01-20
may 24 2019,2019-05-24
november 3 2017,2017-11-03
18 october 2016,2016-10-18
monday 20 may 2002,2002-05-20
oct 27 1989,1989-10-27
wed 25 jan 2017,2017-01-25
8/17/76,1976-08-17
26 december 2006,2006-12-26
6 september 1978,1978-09-06
28 march 1987,1987-03-28
mar 1 2001,2001-03-01
17 july 2012,2012-07-17
06/01/2005,2005-01-06
mar 12 1987,1987-03-12
oct 7 2002,2002-10-07
10/23/75,1975-10-23
3/6/72,1972-03-06
wed 22 aug 2001,2001-08-22
thursday september 16 1999,1999-09-16
17 mar 1974,1974-03-17
9/28/88,1988-09-28
wed 4 oct 1989,1989-10-04
8/30/81,1981-08-30
tue 13 oct 1970,1970-10-13
wednesday 20 december 1989,1989-12-20
21 february 1993,1993-02-21
thursday august 22 1996,1996-08-22
thu 14 jul 1988,1988-07-14
27 january 2001,2001-01-27
november 24 1997,1997-11-24
february 2 1997,1997-02-02
7 august 2012,2012-08-07
20 april 1983,1983-04-20
11 jun 1989,1989-06-11
friday may 25 1973,1973-05-25
3/18/21,2021-03-18
tuesday february 25 1975,1975-02-25
5/15/82,1982-05-15
dec 20 2021,2021-12-20
february 28 1999,1999-02-28
mon 2 mar 1998,1998-03-02
23 october 2010,2010-10-23
friday august 31 2007,2007-08-31
05/01/1997,1997-01-05
dec 2 1980,1980-12-02
30 july 2002,2002-07-30
wednesday 7 march 2012,2012-03-07
thursday 8 january 2009,2009-01-08
july 12 2020,2020-07-12
tuesday 18 february 2020,2020-02-18
16/05/2019,2019-05-16
10/14/72,1972-10-14
august 16 2007,2007-08-16
july 7 2012,2012-07-07
fri 15 mar 1985,1985-03-15
1/25/96,1996-01-25
thu 15 jan 2004,2004-01-15
22 jun 2019,2019-06-22
6/24/20,2020-06-24
29 march 2016,2016-03-29
thursday 22 march 1984,1984-03-22
23 apr 2004,2004-04-23
september 26 1976,1976-09-26
9 dec 2012,2012-12-09
3 october 1981,1981-10-03
dec 13 1985,1985-12-13
february 12 2013,2013-02-12
30 apr 1987,1987-04-30
sunday 26 january 1992,1992-01-26
02/09/2002,2002-09-02
wednesday april 18 2018,2018-04-18
fri 2 nov 1973,1973-11-02
saturday 24 april 1976,1976-04-24
6/18/12,2012-06-18
28/06/2006,2006-06-28
fri 9 oct 1981,1981-10-09
25/07/2000,2000-07-25
8/22/18,2018-08-22
4 jan 1986,1986-01-04
sun 7 sep 1980,1980-09-07
3/25/04,2004-03-25
9/19/03,2003-09-19
25 sep 2000,2000-09-25
saturday 22 december 1984,1984-12-22
sunday 28 november 2010,2010-11-28
march 5 2021,2021-03-05
29 october 2017,2017-10-29
1/6/91,1991-01-06
2/7/78,1978-02-07
07/09/1976,1976-09-07
thu 2 jan 1997,1997-01-02
22 june 2019,2019-06-22
july 28 1980,1980-07-28
saturday may 30 2020,2020-05-30
apr 18 2003,2003-04-18
sun 7 mar 2004,2004-03-07
aug 8 2019,2019-08-08
12/24/80,1980-12-24
23/04/1973,1973-04-23
12 january 1992,1992-01-12
wednesday march 13 1974,1974-03-13
sep 22 1999,1999-09-22
wed 1 sep 1971,1971-09-01
7/25/83,1983-07-25
22 september 1970,1970-09-22
january 9 1993,1993-01-09
mon 8 aug 2016,2016-08-08
3 november 2003,2003-11-03
dec 2 1986,1986-12-02
12/08/1971,1971-08-12
13 october 1981,1981-10-13
wednesday 20 may 1981,1981-05-20
sunday may 21 1978,1978-05-21
9 june 2019,2019-06-09
16/04/1999,1999-04-16
june 29 1996,1996-06-29
30/12/1995,1995-12-30
26 january 1992,1992-01-26
13 jan 2004,2004-01-13
april 10 2001,2001-04-10
11 nov 1996,1996-11-11
july 30 1988,1988-07-30
31 may 1996,1996-05-31
friday september 5 1997,1997-09-05
september 5 1994,1994-09-05
11 aug 1982,1982-08-11
jan 28 1990,1990-01-28
september 11 1999,1999-09-11
january 15 1979,1979-01-15
30/11/2007,2007-11-30
thu 2 jan 1975,1975-01-02
12 oct 2019,2019-10-12
october 20 1987,1987-10-20
14/01/2004,2004-01-14
7/8/79,1979-07-08
6/20/22,2022-06-20
jun 25 1977,1977-06-25
6/1/75,1975-06-01
jun 14 1997,1997-06-14
1 feb 1994,1994-02-01
mon 27 jan 1986,1986-01-27
jan 2 2016,2016-01-02
24 jun 1993,1993-06-24
22 may 1994,1994-05-22
15 mar 2014,2014-03-15
1 apr 2013,2013-04-01
8/30/06,2006-08-30
tue 12 feb 1985,1985-02-12
10 oct 1973,1973-10-10
feb 27 1988,1988-02-27
july 11 2013,2013-07-11
29 january 2022,2022-01-29
21 july 1985,1985-07-21
13 jan 1979,1979-01-13
20/07/2014,2014-07-20
monday 19 september 1994,1994-09-19
jan 8 1974,1974-01-08
sep 28 2009,2009-09-28
aug 26 1979,1979-08-26
21 may 2006,2006-05-21
13 june 1985,1985-06-13
sat 20 jun 1981,1981-06-20
august 2 1979,1979-08-02
wednesday august 9 1972,1972-08-09
mon 21 nov 1977,1977-11-21
07/08/1986,1986-08-07
february 8 1999,1999-02-08
27/08/1984,1984-08-27
sep 13 1981,1981-09-13
02/10/2008,2008-10-02
wednesday march 23 1977,1977-03-23
14/07/1983,1983-07-14
apr 15 1995,1995-04-15
jan 29 2016,2016-01-29
january 3 2014,2014-01-03
sun 27 aug 2006,2006-08-27
24 feb 2013,2013-02-24
thursday 23 november 1972,1972-11-23
04/12/1977,1977-12-04
4 september 1978,1978-09-04
7 august 1997,1997-08-07
28 mar 2009,2009-03-28
25 september 1988,1988-09-25
9/12/75,1975-09-12
21/03/1977,1977-03-21
friday 2 february 1990,1990-02-02
20 july 2010,2010-07-20
20 october 2019,2019-10-20
6/8/90,1990-06-08
10/21/81,1981-10-21
3 mar 2009,2009-03-03
sunday june 9 1991,1991-06-09
wednesday 29 july 1981,1981-07-29
07/06/2021,2021-06-07
sunday 9 may 1976,1976-05-09
sep 3 2016,2016-09-03
29 may 2002,2002-05-29
05/10/2009,2009-10-05
june 25 2002,2002-06-25
wednesday 4 may 1983,1983-05-04
april 6 2012,2012-04-06
september 20 1975,1975-09-20
11/07/1985,1985-07-11
sunday november 6 2016,2016-11-06
tuesday october 20 1970,1970-10-20
sun 9 dec 2007,2007-12-09
9 feb 1999,1999-02-09
28/02/1995,1995-02-28
6/30/04,2004-06-30
18/06/1993,1993-06-18
thursday 31 july 1975,1975-07-31
wednesday october 9 1985,1985-10-09
1/15/90,1990-01-15
friday 16 august 1991,1991-08-16
sunday 26 july 1987,1987-07-26
april 12 2002,2002-04-12
monday 11 september 1989,1989-09-11
4 nov 1991,1991-11-04
3 sep 1993,1993-09-03
14 oct 1990,1990-10-14
april 25 1996,1996-04-25
2 july 2020,2020-07-02
may 28 2019,2019-05-28
may 5 1989,1989-05-05
friday 1 may 2015,2015-05-01
28 feb 2019,2019-02-28
thu 29 jul 2021,2021-07-29
thu 7 feb 1985,1985-02-07
28 june 1986,1986-06-28
7 august 1993,1993-08-07
4/10/10,2010-04-10
21/01/1988,1988-01-21
9 july 2018,2018-07-09
thu 8 jul 2021,2021-07-08
friday may 22 1981,1981-05-22
july 3 2004,2004-07-03
9/5/15,2015-09-05
16 april 2014,2014-04-16
monday october 21 2019,2019-10-21
26 november 1982,1982-11-26
oct 25 2011,2011-10-25
mon 13 apr 1998,1998-04-13
22 august 2018,2018-08-22
7 may 2016,2016-05-07
december 3 1999,1999-12-03
8 may 1979,1979-05-08
saturday 10 december 1988,1988-12-10
7/7/13,2013-07-07
03/03/2004,2004-03-03
10/30/92,1992-10-30
wednesday 29 december 2010,2010-12-29
thursday february 13 1986,1986-02-13
aug 24 1987,1987-08-24
5 july 2020,2020-07-05
march 16 1984,1984-03-16
08/06/1983,1983-06-08
12/7/87,1987-12-07
28 september 2005,2005-09-28
8 apr 2022,2022-04-08
27 mar 2019,2019-03-27
09/02/1992,1992-02-09
18 jul 2013,2013-07-18
11/18/04,2004-11-18
16 february 2017,2017-02-16
25/03/1973,1973-03-25
10/03/2000,2000-03-10
jan 4 1980,1980-01-04
23 nov 1984,1984-11-23
feb 11 1979,1979-02-11
15 may 2002,2002-05-15
30 july 1982,1982-07-30
9/21/83,1983-09-21
sunday 20 december 1981,1981-12-20
10/27/98,1998-10-27
6 may 2009,2009-05-06
12/10/1975,1975-10-12
28/04/1990,1990-04-28
nov 18 1984,1984-11-18
25/01/2008,2008-01-25
tuesday 4 july 1989,1989-07-04
14 jan 1985,1985-01-14
oct 29 1995,1995-10-29
sunday 3 march 1996,1996-03-03
27 january 2018,2018-01-27
31/12/1995,1995-12-31
tue 3 jan 1984,1984-01-03
saturday may 4 2002,2002-05-04
12/21/20,2020-12-21
saturday 9 september 1978,1978-09-09
21 apr 2013,2013-04-21
12/25/91,1991-12-25
october 8 2018,2018-10-08
saturday 6 february 1999,1999-02-06
28 apr 2002,2002-04-28
june 20 1976,1976-06-20
wednesday july 9 2008,2008-07-09
18/10/1994,1994-10-18
12/3/13,2013-12-03
sunday 12 april 2015,2015-04-12
july 9 1992,1992-07-09
jul 26 2017,2017-07-26
july 23 1982,1982-07-23
wednesday august 25 1982,1982-08-25
tuesday 23 june 1992,1992-06-23
september 19 2018,2018-09-19
january 18 2008,2008-01-18
12/1/11,2011-12-01
sat 6 mar 1976,1976-03-06
30/11/2000,2000-11-30
tuesday 20 january 1976,1976-01-20
mon 1 jan 1979,1979-01-01
saturday july 4 2020,2020-07-04
28/01/1986,1986-01-28
4/30/87,1987-04-30
15/05/2013,2013-05-15
1/7/70,1970-01-07
dec 3 1996,1996-12-03
mon 7 dec 1998,1998-12-07
november 6 2018,2018-11-06
8 may 1977,1977-05-08
19 february 1999,1999-02-19
8 mar 2017,2017-03-08
sunday 1 march 1998,1998-03-01
monday february 24 1986,1986-02-24
1/22/90,1990-01-22
monday 4 january 1999,1999-01-04
tuesday november 19 1996,1996-11-19
8 mar 2006,2006-03-08
11 jan 2011,2011-01-11
tuesday 27 february 1973,1973-02-27
09/01/1980,1980-01-09
june 29 1981,1981-06-29
jan 23 1995,1995-01-23
sunday 9 september 2012,2012-09-09
11/22/01,2001-11-22
28/06/1993,1993-06-28
jun 23 1992,1992-06-23
10/27/89,1989-10-27
22/04/1975,1975-04-22
february 16 1978,1978-02-16
august 22 1992,1992-08-22
january 10 1985,1985-01-10
may 11 2004,2004-05-11
sunday 12 february 1984,1984-02-12
8 october 1984,1984-10-08
friday january 30 2009,2009-01-30
5/26/01,2001-05-26
nov 20 2013,2013-11-20
wednesday february 14 2007,2007-02-14
monday 8 march 1982,1982-03-08
sat 2 sep 1978,1978-09-02
23 feb 1992,1992-02-23
sunday july 23 2006,2006-07-23
09/10/1990,1990-10-09
sunday june 1 2008,2008-06-01
7 mar 2008,2008-03-07
20 september 2004,2004-09-20
august 9 2008,2008-08-09
4/21/75,1975-04-21
dec 8 1982,1982-12-08
02/01/1981,1981-01-02
march 6 1996,1996-03-06
thursday january 7 1982,1982-01-07
21 jun 1973,1973-06-21
10/03/2016,2016-03-10
5 nov 1976,1976-11-05
tuesday april 7 1987,1987-04-07
5 september 2011,2011-09-05
monday june 4 1979,1979-06-04
28/07/2012,2012-07-28
24 nov 1980,1980-11-24
mon 16 nov 1987,1987-11-16
sunday november 19 1972,1972-11-19
02/12/1997,1997-12-02
september 8 2017,2017-09-08
4/24/91,1991-04-24
july 10 1974,1974-07-10
jan 31 2008,2008-01-31
5/22/09,2009-05-22
22 jul 1995,1995-07-22
7 feb 1998,1998-02-07
august 13 1989,1989-08-13
friday 31 may 1985,1985-05-31
mon 8 dec 1997,1997-12-08
12/10/2020,2020-10-12
05/03/1970,1970-03-05
30 november 1989,1989-11-30
wednesday 19 september 2007,2007-09-19
thursday february 24 1972,1972-02-24
wed 22 jan 1986,1986-01-22
5 september 2016,2016-09-05
15 september 1970,1970-09-15
february 2 2002,2002-02-02
17 may 2013,2013-05-17
19 january 2006,2006-01-19
july 2 2021,2021-07-02
28/06/1987,1987-06-28
november 26 1980,1980-11-26
october 22 1993,1993-10-22
29 may 1990,1990-05-29
wednesday september 28 1983,1983-09-28
4 jul 2012,2012-07-04
sat 7 mar 1970,1970-03-07
january 3 1993,1993-01-03
august 24 1993,1993-08-24
mar 21 1971,1971-03-21
3/2/91,1991-03-02
jun 15 2009,2009-06-15
thursday april 6 1995,1995-04-06
friday july 31 2020,2020-07-31
jul 15 2010,2010-07-15
march 9 2004,2004-03-09
14 february 1995,1995-02-14
11 jan 2008,2008-01-11
sunday 2 june 1991,1991-06-02
march 17 2008,2008-03-17
sep 29 1998,1998-09-29
april 23 1974,1974-04-23
nov 18 2003,2003-11-18
monday 20 march 1972,1972-03-20
march 18 2014,2014-03-18
june 20 1996,1996-06-20
9/23/02,2002-09-23
11 dec 1996,1996-12-11
14/03/2019,2019-03-14
27/08/2019,2019-08-27
jan 12 1995,1995-01-12
23 dec 2019,2019-12-23
15 oct 1980,1980-10-15
22 oct 1973,1973-10-22
8 nov 2019,2019-11-08
9/19/76,1976-09-19
4/24/87,1987-04-24
14 oct 2014,2014-10-14
mon 13 aug 2012,2012-08-13
25 jul 1998,1998-07-25
11/11/74,1974-11-11
25/08/2002,2002-08-25
jul 6 1980,1980-07-06
12 april 2020,2020-04-12
14 nov 1995,1995-11-14
mon 23 sep 2019,2019-09-23
28/07/2011,2011-07-28
sun 25 jan 1981,1981-01-25
22 may 1975,1975-05-22
10/25/21,2021-10-25
29 aug 1992,1992-08-29
4 march 1978,1978-03-04
friday 19 july 1974,1974-07-19
08/09/2018,2018-09-08
thu 17 jan 2019,2019-01-17
dec 9 1974,1974-12-09
mar 24 1977,1977-03-24
mar 21 1973,1973-03-21
sunday 3 february 1980,1980-02-03
dec 6 1993,1993-12-06
1 sep 1996,1996-09-01
sep 18 1991,1991-09-18
jun 25 2001,2001-06-25
19 april 1992,1992-04-19
07/03/1993,1993-03-07
07/01/1971,1971-01-07
28/02/1982,1982-02-28
20 may 2008,2008-05-20
mon 26 jul 2021,2021-07-26
aug 27 1989,1989-08-27
friday december 17 1993,1993-12-17
1/15/73,1973-01-15
jul 14 2003,2003-07-14
9/28/84,1984-09-28
tue 17 may 2005,2005-05-17
april 2 1970,1970-04-02
tuesday 20 september 2016,2016-09-20
21/02/2008,2008-02-21
11 august 1983,1983-08-11
wednesday 7 march 2007,2007-03-07
wed 2 aug 2006,2006-08-02
wednesday 2 march 1988,1988-03-02
20 june 2014,2014-06-20
thursday june 26 2014,2014-06-26
jul 11 2019,2019-07-11
friday october 12 2007,2007-10-12
1/17/87,1987-01-17
16 february 2012,2012-02-16
sat 8 jan 1972,1972-01-08
may 13 2014,2014-05-13
19 mar 2022,2022-03-19
jul 12 1997,1997-07-12
8 february 2009,2009-02-08
tuesday 28 august 2007,2007-08-28
tue 22 aug 1972,1972-08-22
thursday 22 june 1978,1978-06-22
31 january 2000,2000-01-31
may 16 1990,1990-05-16
7/18/93,1993-07-18
1/17/04,2004-01-17
monday 17 february 2003,2003-02-17
oct 27 1990,1990-10-27
19 feb 2010,2010-02-19
26 june 1978,1978-06-26
17 september 2002,2002-09-17
thu 7 aug 1975,1975-08-07
jan 28 1991,1991-01-28
friday november 1 1996,1996-11-01
february 13 2005,2005-02-13
7/16/79,1979-07-16
tuesday 23 april 2019,2019-04-23
mar 31 1975,1975-03-31
10/29/98,1998-10-29
9/10/96,1996-09-10
sunday june 6 1993,1993-06-06
jul 7 2020,2020-07-07
18 jul 1983,1983-07-18
10/7/83,1983-10-07
jan 3 1992,1992-01-03
tuesday april 30 1996,1996-04-30
22 july 2004,2004-07-22
sunday june 12 2022,2022-06-12
wed 26 dec 1979,1979-12-26
thursday 8 november 2007,2007-11-08
5 apr 1981,1981-04-05
2/27/73,1973-02-27
mar 16 2016,2016-03-16
2/4/06,2006-02-04
fri 10 dec 2021,2021-12-10
friday 11 october 1991,1991-10-11
05/09/1990,1990-09-05
7 dec 1972,1972-12-07
jun 24 2008,2008-06-24
05/05/1980,1980-05-05
dec 29 2010,2010-12-29
march 14 2013,2013-03-14
11/12/75,1975-11-12
22 november 2010,2010-11-22
3/6/99,1999-03-06
7/3/08,2008-07-03
november 4 1992,1992-11-04
15 jun 1984,1984-06-15
09/02/1977,1977-02-09
friday january 17 2020,2020-01-17
2/11/81,1981-02-11
7/16/97,1997-07-16
tue 4 dec 1990,1990-12-04
saturday 2 may 2020,2020-05-02
saturday april 8 2006,2006-04-08
sun 30 jul 1995,1995-07-30
wed 15 oct 1986,1986-10-15
09/11/2007,2007-11-09
27 jul 1974,1974-07-27
sat 21 jan 2017,2017-01-21
dec 2 2003,2003-12-02
15 february 1988,1988-02-15
wednesday march 19 1975,1975-03-19
jan 9 2012,2012-01-09
tuesday 12 june 2012,2012-06-12
tue 16 jan 1990,1990-01-16
feb 15 2004,2004-02-15
sunday 13 january 2008,2008-01-13
saturday august 7 2004,2004-08-07
monday 16 november 1998,1998-11-16
march 13 2004,2004-03-13
3 jun 1986,1986-06-03
fri 17 jun 2011,2011-06-17
friday january 6 2006,2006-01-06
tuesday april 5 1983,1983-04-05
fri 11 jun 1976,1976-06-11
aug 2 2001,2001-08-02
friday may 6 2022,2022-05-06
wed 23 feb 1994,1994-02-23
8 feb 1996,1996-02-08
sunday september 25 1983,1983-09-25
7 october 1988,1988-10-07
19 october 1983,1983-10-19
sunday august 23 1970,1970-08-23
8/26/81,1981-08-26
mar 2 2001,2001-03-02
sunday 3 march 2013,2013-03-03
10 dec 1972,1972-12-10
4/1/88,1988-04-01
14 october 1995,1995-10-14
june 15 2004,2004-06-15
20/12/2012,2012-12-20
10 february 2004,2004-02-10
mon 28 jan 2019,2019-01-28
oct 29 2004,2004-10-29
sunday january 14 2001,2001-01-14
9/4/21,2021-09-04
28 may 2013,2013-05-28
friday 28 march 2003,2003-03-28
5/19/19,2019-05-19
tue 5 mar 2019,2019-03-05
friday march 23 1984,1984-03-23
01/04/2021,2021-04-01
7/21/22,2022-07-21
friday september 16 1983,1983-09-16
18/06/1973,1973-06-18
nov 19 1988,1988-11-19
14/06/1997,1997-06-14
tuesday february 11 1997,1997-02-11
dec 7 1971,1971-12-07
10 august 1978,1978-08-10
monday march 23 1998,1998-03-23
tuesday 19 february 1985,1985-02-19
saturday september 18 1999,1999-09-18
22 april 1991,1991-04-22
11/13/16,2016-11-13
14/08/2014,2014-08-14
dec 28 1984,1984-12-28
fri 10 may 1996,1996-05-10
13 april 2017,2017-04-13
11/12/1992,1992-12-11
6 mar 2019,2019-03-06
wed 23 aug 2000,2000-08-23
10 dec 2006,2006-12-10
13/02/1986,1986-02-13
10 mar 1997,1997-03-10
saturday 25 august 1979,1979-08-25
tue 6 nov 1979,1979-11-06
monday july 30 1973,1973-07-30
wednesday 18 september 2013,2013-09-18
15 august 1978,1978-08-15
sunday september 15 1996,1996-09-15
28 dec 1992,1992-12-28
24/12/2002,2002-12-24
tuesday 25 november 2008,2008-11-25
mon 20 aug 2001,2001-08-20
24/11/1997,1997-11-24
7 may 2012,2012-05-07
aug 18 1970,1970-08-18
8 feb 1995,1995-02-08
1 july 1977,1977-07-01
sun 11 apr 1999,1999-04-11
tuesday october 8 1991,1991-10-08
25 jun 1970,1970-06-25
monday 10 may 2004,2004-05-10
11 may 1993,1993-05-11
tuesday april 23 2013,2013-04-23
10/01/1985,1985-01-10
31 jan 2014,2014-01-31
mar 19 2017,2017-03-19
aug 5 2007,2007-08-05
9/5/76,1976-09-05
december 23 1987,1987-12-23
wednesday october 28 1998,1998-10-28
tue 25 nov 1986,1986-11-25
13 apr 2000,2000-04-13
sat 5 aug 1978,1978-08-05
6/18/75,1975-06-18
23 august 2000,2000-08-23
may 27 1971,1971-05-27
saturday 25 december 2004,2004-12-25
dec 22 1993,1993-12-22
wednesday 9 may 1984,1984-05-09
sunday june 7 1970,1970-06-07
thursday september 7 1989,1989-09-07
17/07/2019,2019-07-17
wednesday may 9 1979,1979-05-09
sunday 22 october 1989,1989-10-22
january 12 1983,1983-01-12
fri 18 sep 1981,1981-09-18
8 october 1981,1981-10-08
9 mar 1976,1976-03-09
25 december 1984,1984-12-25
jun 2 1978,1978-06-02
thu 23 dec 1982,1982-12-23
28 november 2016,2016-11-28
29/09/1973,1973-09-29
17/11/1979,1979-11-17
saturday september 9 1989,1989-09-09
21 may 2001,2001-05-21
7 july 2000,2000-07-07
fri 27 mar 2015,2015-03-27
wednesday august 31 2016,2016-08-31
9 nov 1988,1988-11-09
3/12/01,2001-03-12
sat 1 mar 2003,2003-03-01
11 nov 2007,2007-11-11
16 oct 2010,2010-10-16
sat 6 dec 2003,2003-12-06
6 august 1989,1989-08-06
sunday 21 july 1974,1974-07-21
9/15/20,2020-09-15
16/03/2014,2014-03-16
03/06/1980,1980-06-03
wed 22 may 1974,1974-05-22
fri 7 oct 2005,2005-10-07
friday 29 april 1983,1983-04-29
saturday 1 december 2012,2012-12-01
4/18/10,2010-04-18
9 apr 2006,2006-04-09
9 may 1989,1989-05-09
3/8/77,1977-03-08
jan 31 1978,1978-01-31
january 6 1981,1981-01-06
sat 2 feb 1991,1991-02-02
1/11/87,1987-01-11
wed 7 feb 1996,1996-02-07
september 11 1987,1987-09-11
august 18 1984,1984-08-18
12 june 2013,2013-06-12
mon 1 jan 2018,2018-01-01
11 february 1990,1990-02-11
18/04/1978,1978-04-18
nov 2 1998,1998-11-02
31/12/2016,2016-12-31
8 november 1985,1985-11-08
april 27 2018,2018-04-27
6 nov 2008,2008-11-06
nov 30 2010,2010-11-30
sun 10 jan 1982,1982-01-10
26 february 2012,2012-02-26
dec 12 1973,1973-12-12
saturday 18 may 1974,1974-05-18
08/11/2012,2012-11-08
28 may 2004,2004-05-28
august 9 1975,1975-08-09
aug 27 2015,2015-08-27
31 jan 2021,2021-01-31
saturday 9 july 2011,2011-07-09
24/06/2005,2005-06-24
11 feb 1999,1999-02-11
20/10/2008,2008-10-20
jan 13 1998,1998-01-13
friday june 26 2015,2015-06-26
14 may 2006,2006-05-14
august 9 1977,1977-08-09
nov 16 1977,1977-11-16
7/7/82,1982-07-07
10 april 2013,2013-04-10
16 october 2009,2009-10-16
21/06/1985,1985-06-21
jun 16 2013,2013-06-16
sat 19 aug 2000,2000-08-19
sunday july 22 1990,1990-07-22
10/21/73,1973-10-21
11 april 1986,1986-04-11
july 10 1981,1981-07-10
mar 5 1997,1997-03-05
16/10/1990,1990-10-16
8/17/07,2007-08-17
mon 21 aug 1978,1978-08-21
saturday may 10 1975,1975-05-10
december 7 1979,1979-12-07
11/3/80,1980-11-03
thu 1 jul 2004,2004-07-01
24 jan 1970,1970-01-24
27/08/1983,1983-08-27
sunday 16 august 2015,2015-08-16
tuesday 1 april 2008,2008-04-01
8/26/14,2014-08-26
november 17 1978,1978-11-17
25 apr 2022,2022-04-25
thursday april 15 2004,2004-04-15
6/2/76,1976-06-02
wed 11 jan 2012,2012-01-11
22/07/1973,1973-07-22
wednesday july 9 2008,2008-07-09
apr 30 1983,1983-04-30
28 nov 1974,1974-11-28
27 october 2005,2005-10-27
16/09/1983,1983-09-16
14 mar 1984,1984-03-14
6/12/20,2020-06-12
tuesday october 5 2010,2010-10-05
31 jan 1989,1989-01-31
09/10/2015,2015-10-09
24 september 1970,1970-09-24
aug 16 1976,1976-08-16
24 july 2010,2010-07-24
sunday 7 august 1983,1983-08-07
february 1 2013,2013-02-01
7 jun 1980,1980-06-07
11/10/1994,1994-10-11
oct 20 2019,2019-10-20
thu 6 may 1993,1993-05-06
january 8 2012,2012-01-08
fri 7 apr 1995,1995-04-07
may 24 1997,1997-05-24
4/22/97,1997-04-22
wed 9 feb 1983,1983-02-09
11/24/11,2011-11-24
22 may 1983,1983-05-22
feb 4 2011,2011-02-04
mon 25 sep 1978,1978-09-25
jul 7 2005,2005-07-07
18 may 1980,1980-05-18
february 17 2002,2002-02-17
15 jan 1992,1992-01-15
sunday 24 january 2021,2021-01-24
11/11/74,1974-11-11
saturday august 28 2010,2010-08-28
wednesday 6 may 2009,2009-05-06
6 nov 2014,2014-11-06
5 mar 2006,2006-03-05
9 may 2015,2015-05-09
sun 2 may 2010,2010-05-02
1/20/84,1984-01-20
fri 26 jun 2015,2015-06-26
10/01/1990,1990-01-10
dec 10 2003,2003-12-10
9 jun 2016,2016-06-09
8/4/81,1981-08-04
september 6 1971,1971-09-06
15 feb 1998,1998-02-15
tuesday 21 march 2017,2017-03-21
15/12/1970,1970-12-15
fri 27 feb 1970,1970-02-27
wednesday 9 january 1974,1974-01-09
